,index,sub_num,block_num,trial_num,task_num,old_num,word,grey,change_time,resp,resp_bin,RT,on_time,trial_time,word_time,cue_duration
48,48,8,2,1,2,0,microscope,None,None,2,2,1.462609653,6,6.005556425,9.005556425,3
49,49,8,2,2,1,0,crown,None,None,1,1,0.939778649,14.61194015,14.61432833,17.61432833,3
50,50,8,2,3,3,1,flashlight,0,1.239007232,1,1,1.783585393,20.71858762,20.72295163,23.72295163,3
51,51,8,2,4,3,1,aircompressor,1,0.877006821,1,1,1.625105567,28.46030691,28.46501603,31.46501603,3
52,52,8,2,5,2,0,cage,None,None,1,1,1.348314218,38.31181713,38.31550047,41.31550047,3
53,53,8,2,6,2,1,dart,None,None,1,1,0.90125257,45.44947043,45.45751889,48.45751889,3
54,54,8,2,7,1,1,map,None,None,,,,53.18666577,53.19125159,56.19125159,3
55,55,8,2,8,2,1,lipstick,None,None,2,2,1.514276593,62.62855103,62.633362,65.633362,3
56,56,8,2,9,1,0,bean,None,None,2,2,1.617186798,69.04682839,69.05034548,72.05034548,3
57,57,8,2,10,1,1,hook,None,None,2,2,1.056221647,77.15308664,77.15907528,80.15907528,3
58,58,8,2,11,2,0,cottage,None,None,2,2,1.059283376,84.34494987,84.35109614,87.35109614,3
59,59,8,2,12,3,0,couch,1,0.398920205,2,2,1.383547915,92.33683426,92.34315485,95.34315485,3
60,60,8,2,13,2,1,vent,None,None,1,1,0.859083135,100.8780859,100.8852404,103.8852404,3
61,61,8,2,14,3,0,jacket,1,1.227025344,1,1,1.650208676,109.5714945,109.5773326,112.5773326,3
62,62,8,2,15,2,0,cushion,None,None,2,2,1.44529501,115.8966121,115.902636,118.902636,3
63,63,8,2,16,3,0,hotdog,0,0.878644135,2,2,1.258576874,125.7039625,125.7114709,128.7114709,3
64,64,8,2,17,3,1,whiteboard,0,0.561610696,2,2,1.358540548,134.9269892,134.9285875,137.9285875,3
65,65,8,2,18,1,0,cinnamon,None,None,2,2,0.776183995,142.3903857,142.3956105,145.3956105,3
66,66,8,2,19,1,0,helmet,None,None,2,2,1.177073176,148.8868487,148.8876061,151.8876061,3
67,67,8,2,20,2,1,submarine,None,None,1,1,0.937023861,156.502046,156.5046365,159.5046365,3
68,68,8,2,21,1,1,oven,None,None,1,1,0.963114352,165.7052951,165.7134303,168.7134303,3
69,69,8,2,22,1,0,jeep,None,None,1,1,0.578370418,172.2905251,172.2970866,175.2970866,3
70,70,8,2,23,2,1,diode,None,None,1,1,1.378249024,180.1812451,180.189156,183.189156,3
71,71,8,2,24,2,0,marble,None,None,2,2,0.931120304,187.6230109,187.6311625,190.6311625,3
72,72,8,2,25,1,1,staples,None,None,2,2,1.383112463,193.8940448,193.898146,196.898146,3
73,73,8,2,26,1,1,suitcase,None,None,1,1,0.694700264,200.365631,200.3734463,203.3734463,3
74,74,8,2,27,3,1,kiwi,0,0.306453445,2,2,0.941859652,206.7839753,206.7904359,209.7904359,3
75,75,8,2,28,3,0,chocolate,1,0.427056883,1,1,0.800165579,214.5931212,214.599151,217.599151,3
76,76,8,2,29,1,0,broom,None,None,2,2,0.855102887,223.1513886,223.1579033,226.1579033,3
77,77,8,2,30,2,1,aquarium,None,None,1,1,0.92728367,231.1091565,231.1166273,234.1166273,3
78,78,8,2,31,2,0,alarm,None,None,2,2,1.000871671,237.1347644,237.1419455,240.1419455,3
79,79,8,2,32,3,1,freezer,1,0.811611619,1,1,1.533444402,243.9863787,243.9922743,246.9922743,3
80,80,8,2,33,3,0,beer,1,0.890746078,2,2,1.616846065,250.756897,250.7592564,253.7592564,3
81,81,8,2,34,2,0,bicycle,None,None,2,2,0.965876821,257.9166251,257.9179743,260.9179743,3
82,82,8,2,35,3,0,doughnut,0,0.650875278,2,2,1.491896785,263.9749333,263.9765742,266.9765742,3
83,83,8,2,36,3,1,bench,0,0.70475198,2,2,1.300207691,271.1633793,271.1686086,274.1686086,3
84,84,8,2,37,2,0,icecream,None,None,2,2,0.929176771,277.8210168,277.8272598,280.8272598,3
85,85,8,2,38,2,1,charger,None,None,2,2,0.922718724,286.8194435,286.8277017,289.8277017,3
86,86,8,2,39,1,1,fondue,None,None,2,2,1.291879582,294.1839087,294.1863976,297.1863976,3
87,87,8,2,40,1,0,clock,None,None,2,2,0.941413961,302.6111822,302.6118101,305.6118101,3
88,88,8,2,41,3,0,deodorant,1,1.192464616,1,1,1.633524299,311.6748597,311.6789198,314.6789198,3
89,89,8,2,42,1,1,tablet,None,None,1,1,0.931346349,321.4355886,321.4377311,324.4377311,3
